id,website,Service
0,Cloudflare,"What We Do At Cloudflare table desk, we have our eyes set on an ambitious goal -- to help build a better Internet. We believe that with our talented team, smart technology and engaged users we can solve some of the biggest problems on the Internet"
1,Amazon CloudFront,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments"
2,Fastly,"Fastly helps the world's most popular digital businesses keep pace with their customer expectations by delivering fast, secure, and scalable online experiences"
3,CDN77,CDN77 is a Content Delivery Network with 35+ points of presence around the world (incl. 3 in South America). CDN77 has its own Video Processing and Delivery platform called Streamflow
4,KeyCDN,"KeyCDN is a simple, fast & reliable Content Delivery Network with 25+ POPs strategicially located around the globe. KeyCDN offers the lowest price at $0.04/GB (every region), pay-as-you-go and many advanced features such as HTTP/2 Support, Free SSL, Instant Purging, a RESTful API, Real-time Analytics, Two-Factor Auth, and 24+ CMS integrations (WordPress, Drupal, Joomla, Magento, etc"
5,Imperva Incapsula,"Imperva Incapsula delivers an enterprise-grade Web Application Firewall to safeguard your site from the latest threats, an intelligent and instantly effective 360-degree anti-DDoS solutions (layers 3-4 and 7), a global CDN to speed up your website's load speed and minimize bandwidth usage and an array of performance monitoring and analytic services to provide insights about your website's security and performance"
6,Linodes Standard,"Linode accelerates innovation by making cloud computing simple, accessible, and affordable to all. Founded in 2003, Linode helped pioneer the cloud computing industry and is today the largest independent open cloud provider in the world. Headquartered in Philadelphia's Old City, the company empowers more than a million developers, startups, and businesses across its global network of data centers"
7,Google Cloud CDN,"Content Delivery Network for Cloud Platform Google Cloud CDN leverages Google' s globally distributed edge points of presence to accelerate content delivery for websites and applications served out of Google Compute Engine and Google Cloud Storage. Cloud CDN lowers network latency, offloads origins, and reduces serving costs. Once you've set up HTTP(S) Load Balancing, simply enable Cloud CDN with a single checkbox"
8,Bootstrapcdn,"Bootstrapcdn is the recommended CDN for Bootstrap, Font Awesome and Bootswatch"
9,StackPath CDN,Innovative Content Delivery Network providing cutting-edge web services and info. like EdgeSSL and DualCDN Strategies
10,Rackspace CDN,"Accelerate your websites, web applications, and media delivery"
11,Microsoft Azure CDN,A fast and modern global delivery network for high-bandwidth content
12,Akamai,"The Akamai Intelligent Platform is a cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally"
13,Sucuri,"Sucuri is a managed security service provider for websites. Our cloud-based tools provide complete website security solution, including performance optimization via a CDN, mitigation of external attacks like vulnerability exploits and DDoS attacks, and professional response in the event of security incident"
14,Kollective,"At Kollective, we make corporate networks smarter so your people can work better. The Kollective platform scales existing IT infrastructure to accelerate content delivery to the edge of the enterprise while minimizing network congestion"
15,CDNify,"CDNify is a flexible and easy-to-use content delivery network built for developers, startups, and digital agencies to accelerate your website, speed up load times and provide a faster, more reliable experience for your customers"
16,Cachefly,"Launched in 2002, CacheFly developed the world’s first TCP-anycast based Content Delivery Network—the only network built for throughput. From the first byte to the last byte, CacheFly delivers your files faster"
17,Dexecure,"We are passionate web performance experts that want to make the internet faster. Dexecure is the only automatic web performance solution that accelerates websites, for better business results. Dexecure automatically performs Front end optimizations and partners with Content Delivery Networks (CDN) to deliver the fastest loading site"
18,IBM Enterprise Video Streaming,"IBM Watson Media (formerly IBM Cloud Video) provides an enterprise video solution, powered by Watson AI, for creating, storing, managing, broadcasting and measuring the impact of live and recorded video"
19,CDNetworks,"CDNetworks enables Global Cloud Acceleration with 160 global points of presence including China, Russia and other emerging markets"
20,Limelight Networks,"Harness the power of one of the world’s largest, fastest Content Delivery Networks to provide an exceptional digital experience"
21,Verizon Edgecast CDN,"Verizon Digital Media Services’ Edgecast Content Delivery Network offers superior performance, enterprise features and capabilities including: - Static caching and dynamic content acceleration with fast TLS connection"
22,Aryaka Networks,"Aryaka is a Cloud-First WAN company. With its optimized global network and innovative technology stack, it offers the industry’s #1 managed SD-WAN delivered as a managed service"
23,CenturyLink Content Delivery Network (CDN),"Our content delivery platform empowers you to succeed by leveraging the CenturyLink network’s scalability, global footprint and proven customer service"
24,Fyipe,"Fyipe monitors your website, dashboards, API's, and more and alerts your team when downtime happens"
25,Google Cloud Interconnect,Options to connect your infrastructure to Google Cloud Platform (GCP)
26,HiberniaCDN,"Security through diversity - They provide unique routes connecting Canada, US, Ireland, UK, Netherlands, Nordics and Asia"
27,StackPath,"Secure and accelerate your websites, apps, APIs, media streams, and more with edge services on a platform built for cloud scale"
28,Salesforce CRM,"Salesforce helps businesses of all sizes accelerate sales, automate tasks and make smarter decisions so you can grow your business faster"
29,HubSpot Sales Hub,"HubSpot is a leading growth platform. Since 2006, HubSpot has been on a mission to make the world more inbound. Today, over 68,800 total customers in more than 100 countries use HubSpot’s award-winning software, services, and support to transform the way they attract, engage, and delight customers"
30,ActiveCampaign,"ActiveCampaign's category-defining Customer Experience Automation Platform helps 100,000+ businesses in 170 countries meaningfully engage with their customers"
31,Freshsales,"Freshsales is a sales CRM software by Freshworks that makes it easy for businesses of all sizes to attract, manage, close, and nurture their leads"
32,Zoho CRM,"Zoho CRM is a cloud-based, integrated customer relationship management platform that caters to the needs of businesses and industries of all sizes and types. Over 150,000 businesses across the world use Zoho CRM to build lasting customer relationships and maximize team productivity"
33,Pipedrive,Pipedrive is a sales management tool for small teams with big ambitions. It visualises your sales pipeline and helps to make sure important activities and conversations won’t get dropped. Salespeople really like it because it’s easy to use and intuitive
34,Microsoft Dynamics 365 Sales,"Microsoft Dynamics CRM is our customer relationship management (CRM) business solution that drives sales productivity and marketing effectiveness through social insights, business intelligence, and campaign management in the cloud, on-premises, or with a hybrid combination"
35,Zendesk Sell,"Zendesk Sell (formerly Base) is sales force automation software to enhance productivity, processes, and pipeline visibility for sales teams"
36,Pipeliner CRM,"Pipeliner CRM drives exceptional user engagement through its sales-friendly interface. With its uniform navigation and visual approach, users can learn the system quickly which drives high adoption rates and faster ROI"
37,Copper,"Copper is the easy-to-use CRM for small businesses that need to manage more sales leads & grow customer relationships—but don't have time for data entry, repetitive admin tasks, or complicated tools"
38,Nimble,Nimble is the industry-leading CRM for Office 365 and G Suite that builds award-winning contact management solutions for teams and individuals
39,SEMrush,SEMrush is an online visibility management and content marketing SaaS platform that enables businesses to optimize their online presence across all key channels
40,SE Ranking,"SE Ranking is an all-included SEO software that offers all SEO tools needed to successfully complete online marketing projects. SE Ranking is perfect for small business owners, SEO pros and agencies"
41,Conductor Searchlight,"Conductor is the world's leading organic marketing company Our content intelligence platform, Conductor Searchlight, generates customer intent insights that lead to compelling content, increased traffic, and higher organic marketing ROI"
42,Ahrefs,"Ahrefs is a set of SEO tools that can help you in almost every aspect of content marketing. Ahrefs takes care of: - Competitor research: unveil your competitor's organic keywords, backlink strategies and PPC keywords - Link Building"
43,Siteimprove,"Optimize the way you manage and deliver your digital presence with an all-in-one solution. Today’s digital era presents demanding challenges. With Siteimprove, you can create higher quality content, promote inclusivity, drive better website traffic, measure performance, and work toward regulatory compliance–all from one place"
44,Moz Pro,"A Moz Pro subscription includes: access to site tracking with Campaigns, where you can learn how your site health, link building, and keyword performance impact your SEO success; Research Tools that analyze your competitors’ efforts, support your keyword research process, and show you new opportunities for link building outreach"
45,Serpstat,"Serpstat is an All-in-one SEO platform which provides more than 20 tools: Competitor Analysis, Keyword Research, Backlink Analysis, Site Audit and Rank Tracker and many more. Serpstat is the fastest-growing SEO tool on the market that provides comprehensive search analytics data to more than 300,000 users"
46,SpyFu,"OpenBOM is a Product-Centric Business Tool for Manufacturing which manages Parts (Items), Item Masters (Catalogs), Bill of Materials, Vendors, Planning and Purchase Orders. OpenBOM connects the various silos of data in your organization (CAD, Bills of Material, POs, ERP/PLM and more) in a single manageable connected process"
47,BrightEdge,"BrightEdge is the global leader in enterprise content performance. As a SaaS technology SEO platform BrightEdge enables marketers to drive traffic, conversions, and revenue from their largest marketing channel – organic search"
48,Netpeak Spider,"Netpeak Spider is an SEO crawler for regular SEO auditing, quick issues search, system analysis, and website parsing"
49,MarketMuse,"MarketMuse accelerates content creation, reinventing how marketers improve organic search rankings, drive expertise in their industry and impact revenue"
50,Algolia,Algolia is a hosted search platform with unique differentiators for all important aspects of search. User Experience: Algolia is designed from the ground up to maximize the speed of search and solve the pain of relevance tuning
51,Swiftype Site Search,"Swiftype Site Search is a powerful, customizable, cloud-based site search platform. Create and manage a tailored search experience for your public facing website with best-in-class relevance, intuitive customization, and rich analytics"
52,IBM Watson Discovery,"Unlock hidden value in data to find answers, monitor trends and surface patterns with the world's most advanced cloud-native insight engine"
53,Elasticsearch,"DO NOT SUBMIT INQUIRES via G2. Go to Elastic.co. Elasticsearch is a distributed, RESTful search and analytics engine capable of solving a growing number of use cases"
54,Microsoft Bing Image Search API,"DO NOT SUBMIT INQUIRES via G2. Go to Elastic.co. Elasticsearch is a distributed, RESTful search and analytics engine capable of solving a growing number of use cases"
55,AddSearch Site Search,"AddSearch is a fully-featured, enterprise-level, hosted and customizable site search. We crawl your website and the installation is a breeze with our hosted results views"
56,iManage Work,"iManage transforms how modern law firms, professional services firms and legal departments get work done by combining AI, security and risk mitigation with industry leading document and email management"
57,SearchUnify,"SearchUnify is an AI-driven Enterprise Search Solution for online communities, sites, help portals, and customer support systems. It makes content residing in multiple platforms, formats, and information sources securely accessible and searchable"
58,X1 Search,"X1 Search provides users the fastest, simplest way to find and work with the exact information they need and thought they'd never find again"
59,Arena PLM & QMS,"We help companies to design, produce, and deliver innovative products quickly with our unified cloud-based PLM and QMS platform. We understand that modern product companies rely on distributed teams and global supply chains to develop products, ensure regulatory compliance, and respond to customer demands"
60,Propel,"Propel's enterprise cloud software is the innovation platform for future brands. We offer the world's only integrated Product Lifecycle Management (PLM), Product Information Management (PIM) and Quality Management Systems (QMS) solutions that help all your employees, partners and customers deliver your best ideas to market"
61,Teamcenter,"Teamcenter is a widely used PLM software. More than a just a PDM solution, Teamcenter is a comprehensive end-to-end PLM solution that optimizes processes throughout the product lifecycle"
62,Oracle Agile,"Oracle's Agile PLM is the industry's most comprehensive enterprise PLM solution, and a key building block required to manage product value chains"
